Contrato;Empresa;Cód. Obra;Obra;Cód. Fornecedor;Fornecedor*;CPF/CNPJ Fornecedor; Objeto do Contrato;Data do Contrato;Data de Término;Situação do Contrato;Data da alteração de situação;Descrição da alteração de situação;Responsável;Situação de Autorização;Autorizado por;Cód. Tipo do Contrato;Tipo do Contrato;Total Mão de Obra;Total Material;Total;Total Medido;Saldo;Cód. Centro custo previsão;Centro custo previsão;Cód. departamento previsão;Departamento previsão;Observação da previsão;Total em Aberto;Total Sinal;Cód. Centro custo sinal;Centro custo sinal;Cód. Departamento sinal;Departamento sinal;Vencimento do sinal;Observação do sinal;Retém impostos no sinal;Total Fat. Direto;Total Fat. Direto Vinculado;Fat. direto outro(s) contrato(s);Fat. direto considera indice;Fat. direto por desconto
CTF/7400121;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4130;GCS PROMOCAO E PUBLICIDADE LTDA;28.660.162/0001-75;PONTOS DE CAPTAÇÃO - GCS PROMOÇÕES;21/11/2024;01/06/2025;Concluído;17/03/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 31.920,00;;R$ 31.920,00;R$ 31.920,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400120;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2841;MAXIMA MARKETING PROMOCIONAL LTDA;18.666.314/0001-93;LOCAÇÃO DE BISTROS - MAXIMA;04/11/2024;04/02/2025;Concluído;15/01/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 3.849,01;R$ 3.849,01;R$ 3.849,01;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400119;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;2709;ALL COPIAS;56.927.924/0001-92;MATERIAIS GRAFICOS - ALL CÓPIAS;26/11/2024;26/04/2025;Parcialmente medido;;;GUSTAVO NASCIMENTO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 8.070,00;;R$ 8.070,00;R$ 3.615,00;R$ 4.455,00;74020;INCORPORAÇÃO - BLVD ALTI;7;COMERCIAL;;R$ 4.455,00;;;;;;;;não;;;não;não;não
CTF/7400118;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4136;PUBLICKER SERVICOS E COMERCIO LTDA;15.479.964/0001-31;MIDIA - PUBLICKER;26/11/2024;26/02/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 9.000,00;;R$ 9.000,00;R$ 9.000,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400117;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4135;DUVALE PUBLICIDADE LTDA;56.869.092/0001-03;PUBLICAÇÃO DE ANUNCIO - DUVALE;26/11/2024;26/01/2025;Concluído;04/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 8.990,00;;R$ 8.990,00;R$ 8.990,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400116;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3137;ECKER LIMA GASTRONOMIA LTDA;39.987.376/0001-77;EVENTOS - ECKER LIMA;26/11/2024;25/12/2025;Concluído;11/03/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 333.700,00;;R$ 333.700,00;R$ 333.700,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7400115;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4092;LITTERA DESIGN COMERCIO DE IMPRESSOS LTDA;73.057.960/0001-61;MATERIAIS GRAFICOS - LITTERA DESIGN;25/11/2024;28/01/2025;Concluído;08/01/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 705,79;;R$ 705,79;R$ 705,79;;74020;INCORPORAÇÃO - BLVD ALTI;7;COMERCIAL;;;;;;;;;;não;;;não;não;não
CTF/7400114;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3276;OPORTUNIDADES EM ALPHAVILLE CONSULTORIA IMOBILIARIA LTDA;32.158.502/0001-31;REEMBOLSOS SF - OPORTUNIDADES;21/11/2024;25/05/2025;Parcialmente medido;;;GUSTAVO NASCIMENTO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 35.750,67;R$ 48.070,00;R$ 83.820,67;R$ 80.550,67;R$ 3.270,00;74020;INCORPORAÇÃO - BLVD ALTI;7;COMERCIAL;;R$ 3.270,00;;;;;;;;não;;;não;não;não
CTF/7400113;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;3944;ATELIE FLORAL JARDINAGEM E PRODUTOS LTDA;53.635.265/0001-22;PAISAGISMO FLOREIRAS DECORADOS - ATELIE FLORAL;18/11/2024;31/12/2024;Concluído;05/12/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;ANA PAULA MINOMO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 9.521,13;R$ 9.521,13;R$ 9.521,13;;74020;INCORPORAÇÃO - BLVD ALTI;18;PRODUTO;;;;;;;;;;não;;;não;não;não
CTF/7400112;740 - BLVD ALTI EMPREENDIMENTO IMOBILIÁRIO LTDA;74000;PROJETO BLVD ALTI;4121;MORAES TRANSPORTES LTDA;34.440.440/0001-81;FRETE - MORAES TPT;12/11/2024;28/01/2025;Concluído;14/01/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 4.500,00;;R$ 4.500,00;R$ 4.500,00;;74020;INCORPORAÇÃO - BLVD ALTI;6;MARKETING;;;;;;;;;;não;;;não;não;não
